id,start,end,today,head_of_household,lga_of_residence,Village,birth_year,Gender,Marital_Status,Household_size,Educational_Level,Living_Arrangement,roof_type,Religious_Affiliation,coop_society_member,Specify_cooperative_society,planting_time,farmland_cultivated_ha,measure_of_seed,bags_of_potato_seeds,baskets_of_potato_seed,cost_of_seeds,cost_of_farm_prep,fert_bags_required,fert_bags_purchased_preseason,total_fert_bags_purchased,total_cost_of_fert,pesticides,farmland_other_crops,farm_prep_cost_other_crops,mixed_cropping,years_of_experience,prior_participation,potato_variety,potato_variety_caruso,potato_variety_marabel,potato_variety_lady_cristyl,potato_variety_nicola,potato_variety_other,potato_variety_diamant,time_of_harvest,time_of_harvest_may,time_of_harvest_june,time_of_harvest_july,time_of_harvest_august,time_of_harvest_september,time_of_harvest_october,quantity_harvested_bags,need_a_store,find_storage_facility,who_owns_facility,self_owned_facility,potato_value_chain_facility,individuals_owned_facility,a_group_facility,government_owned_facility,facility_by_others,potato_storage_time,bags_of_potato_stored,cost_of_storage,post_harvest_losses,post_harvest_loss_bags,potato_sold_bags,potato_bag_price,hired_labourers,hired_labourers_num,labourers_wages,nature_of_labour,want_copy_of_report,email_provider,core_potato_lga,farm_prep_prop,fert_prop,time_taken,survey_day,survey_month,potato_farmsize_ha,potato_seeds_tons,farmsize_others_ha,potato_harvested_tons,qty_potato_stored_tons,post_harvest_loss_tons,potato_sold_tons,potato_price_kg,potato_price_ton
1989-M-7748,2023-08-27T20:56:43Z,2023-08-27T21:02:28Z,2023-08-27,yes,Kanam,Gumshar,1989,Male,Married,5,secondary_education,owned,zinc,muslim,yes,Gumshar rice farmers,may,1,bags,2,0,18000,45000,4,2,3,96000,Dominator,3,110000,no,2,no,caruso,1,0,0,0,0,0,august,0,0,0,1,0,0,12,yes,no,na,0,0,0,0,0,0,0,0,0,yes,1.5,6,20000,yes,15,30000,manual,no,na,No,29.03,50,5.75968333482742,Sunday,August,0.045,0.1,0.14,0.6,0,0.07,0.3,0.12,120
1989-F-9683,2023-08-19T05:43:50Z,2023-08-19T05:47:07Z,2023-08-19,no,Mangu,Murmos,1989,Female,Married,4,secondary_education,owned,zinc,christian,no,na,april,100,bags,8,0,36000,35000,7,4,6,130000,Phosphine Acid,100,3000,no,5,no,lady_cristyl,0,0,1,0,0,0,july,0,0,1,0,0,0,67,no,na,na,0,0,0,0,0,0,0,0,0,no,0,65,40000,yes,2,8000,manual,no,na,Yes,92.11,57.14,3.28731666405996,Saturday,August,4.5,0.4,4.5,3.35,0,0,3.25,1.3,1300
1989-M-1627,2023-08-18T16:23:20Z,2023-08-18T16:27:11Z,2023-08-18,yes,Mangu,Pang panyam,1989,Male,Married,4,secondary_education,owned,zinc,christian,no,na,april,100,bags,8,0,8,3000,7,5,6,145000,Glory,100,3000,no,5,no,nicola,0,0,0,1,0,0,august,0,0,0,1,0,0,68,no,na,na,0,0,0,0,0,0,0,0,0,no,0,65,38000,no,0,0,manual,no,na,Yes,50,71.43,3.84691666762034,Friday,August,4.5,0.4,4.5,3.4,0,0,3.25,1.3,1300
1991-M-2145,2023-08-18T08:55:35Z,2023-08-18T09:05:34Z,2023-08-18,yes,Kanam,Zakkam,1991,Male,Married,5,secondary_education,owned,zinc,christian,no,na,may,3,baskets,0,5,5,50000,100,100,2,30000,"Vinash, arrow",3,80000,yes,1,no,lady_cristyl,0,0,1,0,0,0,may,1,0,0,0,0,0,5,no,na,na,0,0,0,0,0,0,0,0,0,no,0,2,2,yes,3,10000,manual,no,na,No,38.46,100,9.98668333292007,Friday,August,0.135,0.12,0.14,0.25,0,0,0.1,0.04,40
1998-F-8795,2023-08-18T08:44:16Z,2023-08-18T08:55:35Z,2023-08-18,yes,Mikang,Tunkus,1998,Female,Married,6,secondary_education,owned,zinc,christian,yes,Fadama III,june,5,bags,3,0,100000,80000,50,1,50,28,Vinash,3,20000,yes,4,yes,lady_cristyl,0,0,1,0,0,0,june,0,1,0,0,0,0,8,yes,yes,self,1,0,0,0,0,0,30,5,2000,yes,80000,3,10000,yes,5,25000,manual,yes,yahoo,No,80,2,11.3094833334287,Friday,August,0.225,0.15,0.14,0.4,0.25,4000,0.15,0.06,60
1977-M-8348,2023-08-25T23:07:27Z,2023-08-25T23:18:09Z,2023-08-26,yes,Shendam,Shinkwan,1977,Male,Single,4,tertiary_education,inherited,zinc,christian,no,na,april,2,baskets,0,2,24000,4500,3,1,1,30000,Boscalid,4,450,no,1,no,other,0,0,0,0,1,0,august,0,0,0,1,0,0,3,no,na,na,0,0,0,0,0,0,0,0,0,no,0,2,30000,no,0,0,manual,no,na,No,90.91,33.33,10.6899166663488,Friday,August,0.09,0.05,0.18,0.15,0,0,0.1,0.04,40
1962-M-5453,2023-08-23T17:19:33Z,2023-08-26T13:37:12Z,2023-08-23,yes,Qua'an Pan,"Kwande, Quaanpan LGC de",1962,Male,Married,10,tertiary_education,owned,zinc,muslim,yes,Shindenaan cooperative society,july,2,baskets,0,10,250000,500000,5,4,9,180000,Best,2,200000,no,1,no,lady_cristyl,0,0,1,0,0,0,october,0,0,0,0,0,1,10,no,na,na,0,0,0,0,0,0,0,0,0,no,0,6,5800,yes,4,20000,manual,yes,yahoo,No,71.43,80,4097.65118333499,Wednesday,August,0.09,0.25,0.09,0.5,0,0,0.3,0.12,120
1994-M-8786,2023-08-19T15:08:25Z,2023-08-19T15:16:08Z,2023-08-19,yes,Jos North,Zankaliyo,1994,Male,Married,5,tertiary_education,rented,zinc,muslim,yes,kainuwa,june,5,bags,14,0,13000,250000,15,2,2,4,10,1,60000,no,10,no,marabel nicola,0,1,0,1,0,0,september,0,0,0,0,1,0,53,no,na,na,0,0,0,0,0,0,0,0,0,yes,12,35,17500,yes,10,140000,manual,yes,gmail,Yes,80.65,13.33,7.71873333454132,Saturday,August,0.225,0.7,0.04,2.65,0,0.6,1.75,0.7,700
1995-M-5775,2023-08-27T04:46:02Z,2023-08-27T04:50:52Z,2023-08-27,no,Shendam,Damshin,1995,Male,Single,3,tertiary_education,rented,zinc,christian,no,na,april,3,baskets,0,1,12000,6000,2,1,1,58000,Boscalid,3,21000,no,1,no,lady_cristyl,0,0,1,0,0,0,august,0,0,0,1,0,0,2,no,na,na,0,0,0,0,0,0,0,0,0,no,0,2,30000,no,0,0,manual,no,na,No,22.22,50,4.84086666504542,Sunday,August,0.135,0.03,0.14,0.1,0,0,0.1,0.04,40
1972-M-1613,2023-08-22T13:29:00Z,2023-08-22T13:38:14Z,2023-08-22,yes,Jos North,Zangaliyo,1972,Male,Married,7,tertiary_education,rented,zinc,muslim,yes,Kainuwa,june,5,bags,12,0,12000,250000,15,2,2,80000,7,1,50000,no,15,no,marabel nicola,0,1,0,1,0,0,september,0,0,0,0,1,0,50,no,na,na,0,0,0,0,0,0,0,0,0,yes,6,40,16500,yes,10,130000,manual,yes,gmail,Yes,83.33,13.33,9.23523333470027,Tuesday,August,0.225,0.6,0.04,2.5,0,0.3,2,0.8,800
