id,today,survey_day,survey_month,lga_of_residence,village,time_taken,birth_year,gender,marital_status,household_size,educational_level,living_arrangement,roof_type,coop_society_member,planting_time,potato_farmsize_ha,farmsize_others_ha,potato_seeds_tons,cost_of_seeds,cost_of_farm_prep,total_fert_bags_purchased,total_cost_of_fert,mixed_cropping,years_of_experience,prior_participation,potato_variety,time_of_harvest,potato_harvested_tons,need_a_store,find_storage_facility,qty_potato_stored_tons,post_harvest_losses,post_harvest_loss_tons,potato_sold_tons,potato_price_kg,potato_price_ton,hired_labourers,hired_labourers_num,labourers_wages,nature_of_labour
1989-M-1627,2023-08-18,Friday,August,Mangu,Pang panyam,3.84691666762034,1989,Male,Married,4,secondary_education,owned,zinc,no,april,4.5,4.5,0.4,8,3000,6,145000,no,5,no,nicola,august,3.4,no,na,0,no,0,3.25,760,760000,no,0,0,manual
1994-M-8786,2023-08-19,Saturday,August,Jos North,Zankaliyo,7.71873333454132,1994,Male,Married,5,tertiary_education,rented,zinc,yes,june,0.22,0.04,0.7,13000,250000,2,4,no,10,no,marabel nicola,september,2.65,no,na,0,yes,0.6,1.75,350,350000,yes,10,140000,manual
1972-M-1613,2023-08-22,Tuesday,August,Jos North,Zangaliyo,9.23523333470027,1972,Male,Married,7,tertiary_education,rented,zinc,yes,june,0.22,0.04,0.6,12000,250000,2,80000,no,15,no,marabel nicola,september,2.5,no,na,0,yes,0.3,2,330,330000,yes,10,130000,manual
1977-M-0023,2023-08-19,Saturday,August,Jos North,zakaliyo,8.90013333559036,1977,Male,Married,7,secondary_education,owned,zinc,no,june,0.22,0.09,0.6,12000,300000,3,125000,no,10,no,marabel nicola,september,2.5,no,na,0,yes,0.25,2,350,350000,yes,10,120000,manual
1983-F-7725,2023-08-21,Monday,August,Jos North,Zanqaliyo,4.25945000251134,1983,Female,Married,4,secondary_education,rented,zinc,yes,june,0.22,0.04,0.5,13000,280000,3,1250000,no,5,no,marabel nicola,september,2.5,no,na,0,yes,0.25,2,320,320000,yes,14,150000,manual
1993-F-9355,2023-08-22,Tuesday,August,Jos North,zangaliyo,3.82141666809718,1993,Female,Married,5,tertiary_education,rented,zinc,no,june,0.18,0.04,0.3,13000,200000,1,60000,no,4,no,marabel nicola,september,1.75,no,na,0,yes,0.15,1.5,330,330000,yes,7,90000,manual
1990-F-1841,2023-08-21,Monday,August,Jos North,Zankaliyo,4.4191499988238,1990,Female,Married,7,primary_education,rented,zinc,no,june,0.18,0.04,0.4,13000,200000,2,125000,no,6,no,marabel nicola,september,2,no,na,0,yes,0.15,1.75,340,340000,yes,7,90000,manual
1983-M-1646,2023-08-19,Saturday,August,Jos North,Zankaliyo,7.2032333334287,1983,Male,Married,7,primary_education,rented,zinc,yes,june,0.22,0.22,0.85,130000,180000,3,6,no,10,no,marabel nicola,september,2.75,yes,no,0,yes,0.4,2,350,350000,yes,11,110000,manual
1995-M-9548,2023-08-21,Monday,August,Jos North,Zanqaliyo,4.39321666558584,1995,Male,Single,11,tertiary_education,rented,zinc,yes,june,0.22,0.04,0.45,12500,300000,3,125000,no,5,no,marabel nicola,september,2.3,no,na,0,yes,0.25,2,340,340000,yes,10,130000,manual
1990-F-9234,2023-08-22,Tuesday,August,Jos North,Zankaliyo,3.86181666851044,1990,Female,Married,10,secondary_education,rented,zinc,no,june,0.22,0.04,0.4,13000,250000,2,80000,no,7,no,marabel nicola,september,2.35,no,na,0,yes,0.25,2,330,330000,yes,10,120000,manual
1983-M-4822,2023-08-19,Saturday,August,Jos North,Zakaliyo,34.1922666668892,1983,Male,Married,6,secondary_education,owned,zinc,no,june,0.22,0.04,0.5,15000,150000,2,150000,no,10,yes,marabel nicola,september,2.5,yes,no,0,yes,0.5,1.5,360,360000,yes,10,100000,manual
1997-M-0909,2023-09-02,Saturday,September,Jos South,Narakuta,1116.29330000083,1997,Male,Single,8,tertiary_education,rented,zinc,no,march,0.09,0,0.05,20000,10000,4,86000,no,3,no,nicola,august,0.4,no,na,0,no,0,0.25,320,320000,yes,2,20000,manual
1974-M-6630,2023-08-19,Saturday,August,Jos North,zankaliyo,8.01941666603088,1974,Male,Married,10,secondary_education,rented,zinc,yes,june,0.22,0.22,0.5,15000,230000,2,4,no,7,no,marabel nicola,september,3,no,na,0,yes,0.75,2.15,360,360000,yes,8,120000,manual
2001-F-1761,2023-08-21,Monday,August,Jos North,Zankaliyo,5.07020000219345,2001,Female,Single,11,secondary_education,rented,zinc,no,june,0.18,0.04,0.5,12500,350000,4,100000,no,3,no,marabel nicola,september,2.35,no,na,0,yes,0.3,1.85,340,340000,yes,12,120000,manual
1996-M-2530,2023-08-19,Saturday,August,Jos North,Zanqaliyo,11.1648833354314,1996,Male,Single,7,secondary_education,rented,zinc,no,june,0.22,0.04,0.75,15000,250000,3,5,no,4,no,marabel nicola,september,2.6,yes,no,0,yes,0.6,1.75,340,340000,yes,13,120000,manual
1991-F-7485,2023-08-22,Tuesday,August,Jos North,zangaliyo,4.31746666828791,1991,Female,Married,6,secondary_education,rented,zinc,no,june,0.22,0.04,0.4,13000,260000,2,60000,no,5,no,marabel nicola,september,2.1,no,na,0,yes,0.15,1.85,330,330000,yes,10,140000,manual
1990-F-0442,2023-08-21,Monday,August,Jos North,Zanqaliyo,8.18331666787465,1990,Female,Married,10,secondary_education,rented,zinc,no,june,0.22,0.04,0.5,12000,230000,4,120000,no,5,no,marabel nicola,september,2.15,no,na,0,yes,0.2,1.85,340,340000,yes,10,110000,manual
1990-M-3522,2023-08-21,Monday,August,Jos North,Zanqaliyo,4.35138333638509,1990,Male,Married,3,secondary_education,rented,zinc,yes,june,0.22,0.04,0.55,12500,290000,2,100000,no,6,no,marabel nicola,september,2.4,no,na,0,no,0,2,330,330000,yes,10,120000,manual
1988-F-4090,2023-08-22,Tuesday,August,Jos North,Zangaliyo,9.61946666638056,1988,Female,Married,7,secondary_education,rented,zinc,yes,june,0.22,0.04,0.4,13000,250000,2,125000,no,5,no,marabel nicola,september,2.25,no,na,0,yes,0.35,1.8,330,330000,yes,9,110000,manual
1986-M-2820,2023-08-21,Monday,August,Jos North,Zanqaliyo,6.06881666580836,1986,Male,Married,5,secondary_education,rented,zinc,yes,june,0.22,0.04,0.4,13000,250000,2,100000,no,8,no,marabel nicola,september,2.4,no,na,0,yes,0.25,2,330,330000,yes,11,130000,manual
1985-F-2030,2023-08-21,Monday,August,Jos North,Zanqaliyo,4.46335000197093,1985,Female,Married,7,secondary_education,rented,zinc,yes,june,0.22,0.04,0.45,12500,250000,2,100000,no,7,no,marabel nicola,september,2,no,na,0,yes,0.15,1.75,330,330000,yes,8,120000,manual
1983-M-5533,2023-08-19,Saturday,August,Jos North,Zankaliyo,12.4705333312353,1983,Male,Married,9,secondary_education,rented,zinc,yes,june,0.22,0.04,0.6,14000,270000,5,175000,no,11,no,marabel nicola,september,2.85,no,na,0,yes,0.45,2,350,350000,yes,11,130000,manual
1983-M-3005,2023-08-19,Saturday,August,Jos North,Zankaliyo,6.82330000003179,1983,Male,Married,8,primary_education,rented,zinc,yes,june,0.22,0.04,0.5,14000,200000,4,7,no,12,no,marabel nicola,september,2.25,no,na,0,yes,0.25,1.8,370,370000,yes,9,130000,manual
1974-M-0026,2023-08-25,Friday,August,Mangu,Sabon gida,3.8752166668574,1974,Male,Married,4,primary_education,owned,thatched,no,april,4.5,4.5,0.4,35000,3500,6,165000,no,6,no,caruso,august,3.15,no,na,0,no,0,3,780,780000,no,0,0,manual
1973-F-5315,2023-08-25,Friday,August,Mangu,Sabon gida,3.24780000050863,1973,Female,Married,5,tertiary_education,owned,zinc,no,april,9,9,0.7,35000,6000,9,200000,no,8,no,lady_cristyl,july,5.9,no,na,0,no,0,5.5,720,720000,yes,4,13000,manual
1988-F-0580,2023-08-28,Monday,August,Jos East,KUTSER DURBI I,4.18923333088557,1988,Female,Married,7,non_formal_education,owned,zinc,yes,may,0.22,0.36,0.35,128000,28000,6,128000,yes,7,yes,caruso marabel other,august,1.15,no,na,0,no,0,1.1,370,370000,no,0,0,manual
1979-F-5065,2023-08-23,Wednesday,August,Jos East,Afegwom,16.3434000015259,1979,Female,Married,8,non_formal_education,owned,zinc,yes,may,0.27,0.36,0.35,86000,32000,6,138000,yes,9,yes,caruso nicola other,august,1.1,no,na,0,no,0,1.05,380,380000,yes,4,28000,manual
2006-F-3558,2023-08-22,Tuesday,August,Mangu,SOHON KERANG,3.26979999939601,2006,Female,Single,5,primary_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,50000,4,100000,no,4,no,marabel,august,2.75,yes,yes,2.6,no,0,2.35,400,400000,yes,5,50000,manual
2005-M-5203,2023-08-22,Tuesday,August,Mangu,DUNGLA'AR,3.39843333562215,2005,Male,Single,5,primary_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,50000,4,100000,no,4,no,marabel,july,2.6,yes,yes,2.5,no,0,2.1,400,400000,yes,4,40000,manual
2004-M-7162,2023-08-22,Tuesday,August,Mangu,KWAHAS,3.57286666631699,2004,Male,Single,4,primary_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,45000,4,100000,yes,52,no,marabel,august,2.6,yes,yes,2.5,no,0,2.25,400,400000,yes,4,40000,manual
2004-M-6431,2023-08-22,Tuesday,August,Mangu,Kungtup,4.08348333438238,2004,Male,Single,4,non_formal_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,50000,4,100000,no,4,no,caruso,july,2.8,yes,yes,2.65,no,0,2.35,400,400000,yes,4,40000,manual
